session_id,source_file,task,group,group_label,model,reasoning_effort,visible_tools,message_count,tool_calls,bash_calls,editor_calls,probe_events,missing_signals,install_attempts,nonzero_bash_results,first_call_inspects,read_before_write,post_write_validation,bash_write_calls,explicit_validation_calls
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,P1 财务 Dashboard,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",48,23,23,0,0,2,0,3,True,True,True,7,4
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,P2 文档工程,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",221,110,110,0,17,5,7,11,True,True,True,25,28
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,P3 修仓库,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",36,19,19,0,0,3,2,0,True,True,True,2,12
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,P4 本地任务管理,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",50,24,24,0,0,3,0,1,True,True,True,14,13
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,P5 交互式物理仿真,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",60,30,30,0,9,1,1,0,True,True,True,18,16
session-vibe-06,logs\cases\step0-vibe\session-vibe-06.jsonl,P6 OCR 表格流水线,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",99,49,47,2,5,3,0,3,True,True,True,12,13
session-vibe-07,logs\cases\step0-vibe\session-vibe-07.jsonl,P7 本地网站爬取,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",37,20,20,0,5,0,0,1,True,True,True,6,6
session-vibe-08,logs\cases\step0-vibe\session-vibe-08.jsonl,P8 C++ 打包发布,step0_vibe,Step 0 · vibe 项目,deepseek-v4-pro,max,"bash,str_replace_editor",120,59,55,4,3,5,4,3,True,True,True,32,24
session-case-01,logs\cases\step0\session-case-01.jsonl,C01 JSON 解析,step0_cases,Step 0 · 12 用例,deepseek-v4-flash,max,"bash,str_replace_editor",12,5,5,0,0,0,0,1,True,True,True,1,2
session-case-02,logs\cases\step0\session-case-02.jsonl,C02 文件查找,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",11,5,5,0,0,0,0,0,True,True,True,1,2
session-case-03,logs\cases\step0\session-case-03.jsonl,C03 压缩包处理,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",12,5,5,0,0,0,0,0,True,True,True,1,2
session-case-04,logs\cases\step0\session-case-04.jsonl,C04 CSV 统计,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",14,7,7,0,0,0,0,0,True,True,True,1,3
session-case-05,logs\cases\step0\session-case-05.jsonl,C05 数值求解,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",36,17,17,0,0,1,2,1,True,True,True,1,3
session-case-06,logs\cases\step0\session-case-06.jsonl,C06 符号计算,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",10,4,4,0,0,0,0,0,True,True,True,1,3
session-case-07,logs\cases\step0\session-case-07.jsonl,C07 图表生成,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",38,18,18,0,4,3,2,1,True,True,True,2,9
session-case-08,logs\cases\step0\session-case-08.jsonl,C08 图像处理,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",16,7,7,0,0,0,0,0,True,True,True,1,3
session-case-09,logs\cases\step0\session-case-09.jsonl,C09 测试诊断,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",23,11,11,0,0,2,0,0,True,True,True,2,7
session-case-10,logs\cases\step0\session-case-10.jsonl,C10 C/C++ 构建,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",15,7,7,0,0,0,0,0,True,True,True,2,2
session-case-11,logs\cases\step0\session-case-11.jsonl,C11 文档转换,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",103,51,51,0,9,1,3,5,True,True,True,13,14
session-case-12,logs\cases\step0\session-case-12.jsonl,C12 本地 HTTP + JSON,step0_cases,Step 0 · 12 用例,deepseek-v4-pro,max,"bash,str_replace_editor",24,11,11,0,0,0,0,1,True,True,True,2,3
双叉臂测试-step0,logs\双叉臂测试-step0.jsonl,双叉臂 · Step 0,double_step0,双叉臂 · Step 0,deepseek-v4-pro,max,"bash,str_replace_editor,vision_toolkit_activate",212,106,105,0,8,1,3,6,False,False,True,34,28
双叉臂测试,logs\双叉臂测试.jsonl,双叉臂 · baseline,double_baseline,双叉臂 · baseline,deepseek-v4-pro,max,"bash,str_replace_editor,vision_toolkit_activate",141,70,69,0,13,6,5,7,True,True,True,29,19
